filename,run_number,run_path,scenario,preupsample,dataset,model,loss_function,variable,rmse,mae,bias,corr,baseline_rmse,skill
evaluation_visualization.ipynb,,,unknown,no-preupsample,1 dataset,Unknown,n/a,,,,,,,
sc1_eval_convnext_mae_preupsample.ipynb,1,runs TA/sc1_convnext_preupsample/20260413_114526_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,V10 (m/s),1.168197751,0.896389723,-0.0535988063,0.84762007,1.171017261,0.00240774429
sc1_eval_convnext_mae_preupsample.ipynb,1,runs TA/sc1_convnext_preupsample/20260413_114526_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,T2m (K),0.712742686,0.578876257,0.00618905015,0.803710818,0.815497557,0.126002671
sc1_eval_convnext_mae_preupsample.ipynb,1,runs TA/sc1_convnext_preupsample/20260413_114526_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,TP 24hr (mm),0.00694025448,0.00357371569,-0.00106610265,0.786646664,0.00653527562,-0.0619681366
sc1_eval_convnext_mae_preupsample.ipynb,2,runs TA/sc1_convnext_preupsample/20260413_115018_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,U10 (m/s),1.206392169,0.925864279,-0.108593687,0.866685927,1.244089406,0.0303010677
sc1_eval_convnext_mae_preupsample.ipynb,2,runs TA/sc1_convnext_preupsample/20260413_115018_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,V10 (m/s),1.168189883,0.896389782,-0.0540792979,0.847622156,1.171017261,0.00241446307
sc1_eval_convnext_mae_preupsample.ipynb,2,runs TA/sc1_convnext_preupsample/20260413_115018_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,T2m (K),0.712833524,0.578949749,0.0050144461,0.803693473,0.815497557,0.125891282
sc1_eval_convnext_mae_preupsample.ipynb,2,runs TA/sc1_convnext_preupsample/20260413_115018_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,TP 24hr (mm),0.00693992432,0.0035737236,-0.00106581394,0.786650717,0.00653527562,-0.0619176178
sc1_eval_convnext_mae_preupsample.ipynb,3,runs TA/sc1_convnext_preupsample/20260413_115501_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,U10 (m/s),1.206447124,0.925925374,-0.109049171,0.86668098,1.244089406,0.0302568945
sc1_eval_convnext_mae_preupsample.ipynb,3,runs TA/sc1_convnext_preupsample/20260413_115501_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,V10 (m/s),1.168164372,0.896370173,-0.0528364331,0.847618639,1.171017261,0.00243624823
sc1_eval_convnext_mae_preupsample.ipynb,3,runs TA/sc1_convnext_preupsample/20260413_115501_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,T2m (K),0.71293366,0.579029322,0.00476131262,0.803676903,0.815497557,0.125768491
sc1_eval_convnext_mae_preupsample.ipynb,3,runs TA/sc1_convnext_preupsample/20260413_115501_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,TP 24hr (mm),0.00694012875,0.00357352686,-0.00106593571,0.78665787,0.00653527562,-0.0619488981
sc1_eval_convnext_mae_preupsample.ipynb,4,runs TA/sc1_convnext_preupsample/20260413_115945_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,U10 (m/s),1.206447005,0.925891519,-0.109129556,0.866682351,1.244089406,0.0302569903
sc1_eval_convnext_mae_preupsample.ipynb,4,runs TA/sc1_convnext_preupsample/20260413_115945_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,V10 (m/s),1.168142915,0.896364748,-0.0535972789,0.847629666,1.171017261,0.00245457218
sc1_eval_convnext_mae_preupsample.ipynb,4,runs TA/sc1_convnext_preupsample/20260413_115945_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,T2m (K),0.712843597,0.578943372,0.00551960571,0.803687334,0.815497557,0.12587893
sc1_eval_convnext_mae_preupsample.ipynb,4,runs TA/sc1_convnext_preupsample/20260413_115945_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,TP 24hr (mm),0.00694035087,0.00357387261,-0.00106590532,0.786632538,0.00653527562,-0.0619828861
sc1_eval_convnext_mae_preupsample.ipynb,5,runs TA/sc1_convnext_preupsample/20260413_120429_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,U10 (m/s),1.20638442,0.925870061,-0.108378135,0.866688192,1.244089406,0.0303072961
sc1_eval_convnext_mae_preupsample.ipynb,5,runs TA/sc1_convnext_preupsample/20260413_120429_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,V10 (m/s),1.168145537,0.89635241,-0.0526489057,0.847624302,1.171017261,0.00245233259
sc1_eval_convnext_mae_preupsample.ipynb,5,runs TA/sc1_convnext_preupsample/20260413_120429_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,T2m (K),0.712902784,0.579013765,0.00480395323,0.80369848,0.815497557,0.125806352
sc1_eval_convnext_mae_preupsample.ipynb,5,runs TA/sc1_convnext_preupsample/20260413_120429_lead1d,scenario1,preupsample,2 dataset,ConvNeXt,n/a,TP 24hr (mm),0.00694060093,0.0035735534,-0.00106787158,0.786658525,0.00653527562,-0.0620211492
sc1_eval_gan.ipynb,1,runs/20260506_012636_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,U10 (m/s),1.167355418,0.898099959,-0.0834056288,0.874271035,1.244089406,0.0616788374
sc1_eval_gan.ipynb,1,runs/20260506_012636_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,V10 (m/s),1.126202226,0.865210831,0.0590700842,0.862136543,1.171017261,0.038270175
sc1_eval_gan.ipynb,1,runs/20260506_012636_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,T2m (K),0.730546653,0.599210501,-0.0136725465,0.817966223,0.815497557,0.104170641
sc1_eval_gan.ipynb,1,runs/20260506_012636_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,TP 24hr (mm),0.00652441382,0.00340573909,-0.000766054844,0.811439812,0.00653527562,0.00166202622
sc1_eval_gan.ipynb,2,runs/20260506_083003_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,U10 (m/s),1.166938186,0.897911489,-0.0688748509,0.874293506,1.244089406,0.0620142092
sc1_eval_gan.ipynb,2,runs/20260506_083003_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,V10 (m/s),1.126507401,0.865510583,0.0606290065,0.862089276,1.171017261,0.0380095676
sc1_eval_gan.ipynb,2,runs/20260506_083003_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,T2m (K),0.730373919,0.599060893,-0.0117589599,0.818051577,0.815497557,0.104382456
