filename,run_number,scenario,preupsample,dataset,model,loss_function,variable,rmse,mae,bias,corr,baseline_rmse,skill
sc1_convnext_mae_preupsample_run2_executed.ipynb,2,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,T2m (K),0.7128,0.5789,0.005,0.8037,0.8155,0.1259
sc1_convnext_mae_preupsample_run2_executed.ipynb,2,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.0069,0.0036,-0.0011,0.7867,0.0065,-0.0619
sc1_convnext_mae_preupsample_run3_executed.ipynb,3,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,U10 (m/s),1.2064,0.9259,-0.109,0.8667,1.2441,0.0303
sc1_convnext_mae_preupsample_run3_executed.ipynb,3,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,V10 (m/s),1.1682,0.8964,-0.0528,0.8476,1.171,0.0024
sc1_convnext_mae_preupsample_run3_executed.ipynb,3,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,T2m (K),0.7129,0.579,0.0048,0.8037,0.8155,0.1258
sc1_convnext_mae_preupsample_run3_executed.ipynb,3,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.0069,0.0036,-0.0011,0.7867,0.0065,-0.0619
sc1_convnext_mae_preupsample_run4_executed.ipynb,4,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,U10 (m/s),1.2064,0.9259,-0.1091,0.8667,1.2441,0.0303
sc1_convnext_mae_preupsample_run4_executed.ipynb,4,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,V10 (m/s),1.1681,0.8964,-0.0536,0.8476,1.171,0.0025
sc1_convnext_mae_preupsample_run4_executed.ipynb,4,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,T2m (K),0.7128,0.5789,0.0055,0.8037,0.8155,0.1259
sc1_convnext_mae_preupsample_run4_executed.ipynb,4,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.0069,0.0036,-0.0011,0.7866,0.0065,-0.062
sc1_convnext_mae_preupsample_run5_executed.ipynb,5,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,U10 (m/s),1.2064,0.9259,-0.1084,0.8667,1.2441,0.0303
sc1_convnext_mae_preupsample_run5_executed.ipynb,5,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,V10 (m/s),1.1681,0.8964,-0.0526,0.8476,1.171,0.0025
sc1_convnext_mae_preupsample_run5_executed.ipynb,5,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,T2m (K),0.7129,0.579,0.0048,0.8037,0.8155,0.1258
sc1_convnext_mae_preupsample_run5_executed.ipynb,5,scenario1-convnext-mae-preupsample,preupsample,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.0069,0.0036,-0.0011,0.7867,0.0065,-0.062
